name,library_type,address,homepage_url,lat,lng
도초작은도서관,작은도서관,전라남도 신안군 도초면 서남문로 1521-20,,34.70349111,125.9539509
도촌동,작은도서관,경기도 성남시 중원구 도촌북로 28 (도촌동),https://www.snlib.go.kr/small,37.416467,127.152786
도토리와친구들,작은도서관,경상남도 합천군 초계면 초계중앙로 106-10,,35.558138,128.270268
도평동 작은도서관,작은도서관,대구광역시 동구 팔공로24길 171,https://library.daegu.go.kr/donggu,35.90997576,128.6501287
독우물작은도서관,작은도서관,전북특별자치도 남원시 금지면 독우물길 33(석정새마을회관 2층),https://www.namwon.go.kr/index.do?menuCd=DOM_000000203001006016,35.35929223,127.303025
독정골어린이도서관,어린이도서관,인천광역시 미추홀구 인주대로171번길 1,http://hnrl.michu.incheon.kr,37.456027,126.6563009
돌다리작은도서관(석교동마을문고),작은도서관,"대전광역시 중구 대종로 228, (석교동) 석교동 행정복지센터",,36.30970015,127.4424094
돌마리도서관,공공도서관,서울특별시 송파구 백제고분로37길 16 (석촌동),http://www.splib.or.kr,37.50356461,127.1036855
동구도서관,공공도서관,부산광역시 동구 성북로 36번길 54,http://www.bsdonggu.go.kr/library,35.138064,129.052451
동구문고작은도서관,작은도서관,광주광역시 동구 금남로 231,,35.14905859,126.9177352
동구어린이영어도서관,공공도서관,부산광역시 동구 수성로 21,http://www.bsdonggu.go.kr/kidseng,35.13462651,129.0419717
동그라미도서관,작은도서관,인천광역시 부평구 이규보로 79(십정동),,37.47967346,126.7029085
동내도서관,공공도서관,강원특별자치도 춘천시 동내면 학곡동1길 17-4(동내면 학곡리),https://library.chuncheon.go.kr,37.836105,127.762919
동네작은도서관,작은도서관,대구광역시 중구 국채보상로150길 25,,35.8671847,128.611523
동녘도서관,공공도서관,제주특별자치도 제주시 구좌읍 일주동로 3148,https://org.jje.go.kr/lib,33.52045032,126.8545676
동두천꿈나무정보도서관,공공도서관,경기도 동두천시 지행로 38,http://lib.ddc.go.kr/,37.89215013,127.0513977
동두천시립도서관,공공도서관,경기도 동두천시 상패로 60,http://lib.ddc.go.kr/,37.90668936,127.047626
동두천오르빛도서관,공공도서관,경기도 동두천시 동두천로 314,http://lib.ddc.go.kr/,37.909685,127.056529
동래읍성도서관,공공도서관,부산광역시 동래구 동래로159번길153 (칠산동),http://lib.dongnae.go.kr/dongnae,35.20716823,129.0947605
동로작은도서관,작은도서관,경상북도 문경시 동로면 노은1길 26,https://www.gbmg.go.kr/portal/contents.do?mId=0602051101,36.76981012,128.3167252
동림동작은도서관,작은도서관,광주광역시 북구 북문대로 236(동림동 행정복지센터 3층),https://www.smalllibrary.org/library/detail/1048355,35.18702965,126.8666034
동매누리작은도서관,작은도서관,부산광역시 사하구 다대로 130번길 112(신평동),http://www.saha.go.kr/portal/contents.do?mId=0607010000,35.093067,128.9759477
동면 작은도서관,작은도서관,강원특별자치도 양구군 동면 금강산로 1693,https://www.yanggu.go.kr/lll/yglll/pageview.do?url=sub06a&keyvalue=sub06Book1,38.20192663,128.0436652
동명작은도서관,작은도서관,경상북도 칠곡군 동명면 금암중앙길 56,http://library.chilgok.go.kr,35.98389969,128.5538964
동문작은도서관,작은도서관,충청남도 서산시 율지6로 6(동문2동 행정복지센터 4층),http://www.seosan.go.kr/citylib/index.do,36.780752,126.460012
동백도서관,공공도서관,경기도 용인시 기흥구 동백3로 80,https://lib.yongin.go.kr/,37.27414594,127.1580486
동부도서관,공공도서관,경상남도 창원시 진해구 용재로 66(용원동),https://lib.changwon.go.kr/db,35.100007,128.817141
동산 새마을작은도서관,작은도서관,경상남도 진주시 비봉로30번길 9(동산교회),,35.19380707,128.0817396
동서남-BOOK 작은도서관,작은도서관,부산광역시 서구 해돋이로 288 (부민동3가) 동서남-BOOK 작은도서관,,35.1019678,129.0166023
